PSR_ID,Nearby_Features,Closest_SAR_File_raw,Calibrated_Filename,Exists_On_Portal,Size_Bytes,Size_GB,Centre_Lat,Centre_Lon
SP_809710_0357350,Scott E,ch2_sar_nrxl_20231016t015303179_d_fp_d18.zip,ch2_sar_ncxl_20231016t015303179_d_fp_d18.zip,Yes,1825485853,1.83,-82.022557,33.712952
SP_809640_3141160,Cabeus A,ch2_sar_ncxl_20230317t221500130_d_fp_n18.zip,ch2_sar_ncxl_20230317t221500130_d_fp_n18.zip,Yes,1793302802,1.79,-81.471743,-52.184119
SP_849230_2362280,Kocher Crater,ch2_sar_nrxl_20220402t111742345_d_fp_d18.zip,ch2_sar_ncxl_20220402t111742345_d_fp_d18.zip,Yes,1712676912,1.71,-83.899581,-117.849476
SP_844580_3134320,Cabeus Crater,ch2_sar_ncls_20200305t114902885_d_cp_d18.zip,ch2_sar_ncls_20200305t114902885_d_cp_d18.zip,Yes,1018587670,1.02,-85.562334,-44.646601
SP_841060_3423520,Cabeus Crater,ch2_sar_nrxl_20191115t074934699_d_fp_gds.zip,ch2_sar_ncxl_20191115t074934699_d_fp_gds.zip,Yes,4231345782,4.23,-85.220478,-14.841716
SP_845770_0017070,Malapert Crater,ch2_sar_nrxl_20191018t064039201_d_fp_g26.zip,ch2_sar_ncxl_20191018t064039201_d_fp_g26.zip,Yes,5205681391,5.21,-85.623258,-3.616983
SP_838270_2552930,Ashbrook Crater,ch2_sar_nrxl_20230322t111436084_d_fp_d32.zip,ch2_sar_ncxl_20230322t111436084_d_fp_d32.zip,Yes,1807683869,1.81,-82.715819,-106.959962
SP_810340_0483070,Scott Crater,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,Yes,1583356545,1.58,-82.166124,47.845656
SP_846070_3232410,Cabeus Crater,ch2_sar_nrls_20200305t114902885_d_cp_d18.zip,ch2_sar_ncls_20200305t114902885_d_cp_d18.zip,Yes,1018587670,1.02,-85.562334,-44.646601
SP_836660_0840100,Amundsen Crater,ch2_sar_ncxl_20230404t135410450_d_fp_d32.zip,ch2_sar_ncxl_20230404t135410450_d_fp_d32.zip,Yes,1570341109,1.57,-82.553652,80.503224
SP_838590_2630960,Ashbrook Crater Ibn Bajja Crater,ch2_sar_ncxl_20230321t232628802_d_fp_d32.zip,ch2_sar_ncxl_20230321t232628802_d_fp_d32.zip,Yes,1826260979,1.83,-82.67913,-99.393647
SP_845640_2574190,Ashbrook Crater Ibn Bajja Crater,ch2_sar_nrxl_20200502t153019281_d_fp_d18.zip,ch2_sar_ncxl_20200502t153019281_d_fp_d18.zip,Yes,4200598016,4.2,-85.81462,-105.938949
SP_836140_3528490,Malapert Crater,ch2_sar_nrxl_20220904t150549836_d_fp_d32.zip,ch2_sar_ncxl_20220904t150549836_d_fp_d32.zip,Yes,2085469647,2.09,-82.387572,-10.404432
SP_838780_3211110,Cabeus Crater,ch2_sar_ncxl_20230316t202542245_d_fp_d32.zip,ch2_sar_ncxl_20230316t202542245_d_fp_d32.zip,Yes,1061357169,1.06,-82.630068,-41.697853
SP_837670_3387710,Newton B Cabeus Crater,ch2_sar_nrxl_20220905t144123432_d_fp_d32.zip,ch2_sar_ncxl_20220905t144123432_d_fp_d32.zip,Yes,2123496806,2.12,-82.47655,-22.771924
SP_839950_3514880,Malapert Crater,ch2_sar_nrxl_20191115t074934699_d_fp_gds.zip,ch2_sar_ncxl_20191115t074934699_d_fp_gds.zip,Yes,4231345782,4.23,-85.220478,-14.841716
SP_806710_1408660,Nefed'ev Crater Schrodinger Crater,ch2_sar_ncxl_20230910t032945908_d_fp_d32.zip,ch2_sar_ncxl_20230910t032945908_d_fp_d32.zip,Yes,1623550080,1.62,-81.981722,142.02753
SP_845510_0602900,Nobile Crater Amundsen Crater,ch2_sar_nrxs_20200225t085353645_d_fp_d18.zip,ch2_sar_ncxs_20200225t085353645_d_fp_d18.zip,Yes,3995532253,4.0,-85.965663,60.740755
SP_807910_0455060,Scott Crater,ch2_sar_ncxl_20231015t081058641_d_fp_d18.zip,ch2_sar_ncxl_20231015t081058641_d_fp_d18.zip,Yes,1418573546,1.42,-82.099452,42.95132
SP_841820_2710340,Ashbrook Crater Ibn Bajja Crater,ch2_sar_ncxl_20191023t122001856_d_fp_gds.zip,ch2_sar_ncxl_20191023t122001856_d_fp_gds.zip,Yes,2572178038,2.57,-84.841139,-76.24918
SP_840980_0797630,Amundsen Crater,ch2_sar_ncxl_20231013t070040354_d_fp_d18.zip,ch2_sar_ncxl_20231013t070040354_d_fp_d18.zip,Yes,1886509710,1.89,-82.759846,74.56628
SP_842140_3232340,Cabeus Crater,ch2_sar_nrls_20200305t114902885_d_cp_d18.zip,ch2_sar_ncls_20200305t114902885_d_cp_d18.zip,Yes,1018587670,1.02,-85.562334,-44.646601
SP_841420_0059530,Malapert Crater,ch2_sar_ncxl_20250321t120906842_d_cp_d18.zip,ch2_sar_ncxl_20250321t120906842_d_cp_d18.zip,Yes,78005312,0.08,-85.622393,11.07493
SP_842420_0421060,Scott M,ch2_sar_nrxl_20191013t163951114_d_fp_d18.zip,ch2_sar_ncxl_20191013t163951114_d_fp_d18.zip,Yes,6280953967,6.28,-85.854228,40.073084
SP_842890_0563440,Nobile Crater,ch2_sar_nrxl_20191012t190304893_d_fp_d18.zip,ch2_sar_ncxl_20191012t190304893_d_fp_d18.zip,Yes,6345936855,6.35,-85.804464,51.198417
SP_806510_0507610,Demonax C Scott Crater,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,Yes,1583356545,1.58,-82.166124,47.845656
SP_804240_1354850,Nefed'ev Crater,ch2_sar_ncxl_20230330t135602076_d_fp_d32.zip,ch2_sar_ncxl_20230330t135602076_d_fp_d32.zip,Yes,1616369429,1.62,-82.026377,137.603937
SP_804520_0401760,Scott E,ch2_sar_ncxl_20231015t100859367_d_fp_d18.zip,ch2_sar_ncxl_20231015t100859367_d_fp_d18.zip,Yes,1409151585,1.41,-82.097316,41.873966
SP_804650_0491050,Demonax C Scott Crater,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,ch2_sar_ncxl_20231015t001857171_d_fp_d18.zip,Yes,1583356545,1.58,-82.166124,47.845656
SP_802260_0424290,Scott E Scott,ch2_sar_ncxl_20231015t100859367_d_fp_d18.zip,ch2_sar_ncxl_20231015t100859367_d_fp_d18.zip,Yes,1409151585,1.41,-82.097316,41.873966
SP_800780_0456630,Scott Crater,ch2_sar_ncxl_20231015t081058641_d_fp_d18.zip,ch2_sar_ncxl_20231015t081058641_d_fp_d18.zip,Yes,1418573546,1.42,-82.099452,42.95132
