PSR_ID,PSR_Latitude,PSR_Longitude,Area_km2,Coverage_pct,Nearby_Features,Closest_SAR_File,SAR_Center_Lat,SAR_Center_Lon,Distance_km,Top_3_SAR_Files
SP_878330_1263810,-87.833,126.381,10.696,50,Slater Crater,ch2_sar_nrxl_20220928t074707235_d_fp_d32.zip,-87.924181,127.248049,2.93,ch2_sar_nrxl_20220928t074707235_d_fp_d32.zip; ch2_sar_nrxl_20220928t054903576_d_fp_d32.zip; ch2_sar_nrxl_20220928t094510917_d_fp_d32.zip
SP_822730_2243490,-82.273,224.349,15.289,100,Kocher Crater Laveran Crater,ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip,-82.337454,-136.194228,2.95,ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip; ch2_sar_ncxl_20230324t122453603_d_fp_d32.zip; ch2_sar_ncxl_20210924t151304673_d_fp_d18.zip
SP_880260_0452790,-88.026,45.279,1075.518,95,Shoemaker crater,ch2_sar_nrxl_20240909t122014006_d_cp_d18.zip,-87.937534,47.205922,3.38,ch2_sar_nrxl_20240909t122014006_d_cp_d18.zip; ch2_sar_ncxl_20240909t122014006_d_cp_d18.zip; ch2_sar_nrxl_20240909t102349599_d_cp_d18.zip
SP_889970_3170870,-88.997,317.087,44.284,0,de Gerlache Crater Haworth Crater,ch2_sar_ncxl_20251001t132254253_d_cp_d18.zip,-88.901755,-46.991285,3.67,ch2_sar_ncxl_20251001t132254253_d_cp_d18.zip; ch2_sar_nrxl_20251001t132254253_d_cp_d18.zip; ch2_sar_ncxl_20251001t112457689_d_cp_d18.zip
SP_825890_0285130,-82.589,28.513,11.779,80,Scott Crater Malapert E,ch2_sar_nrxl_20230311t220142252_d_fp_n18.zip,-82.467817,28.633833,3.71,ch2_sar_nrxl_20230311t220142252_d_fp_n18.zip; ch2_sar_ncxl_20230311t220142252_d_fp_n18.zip; ch2_sar_ncxl_20210911t134720576_d_fp_d18.zip
SP_871270_0406840,-87.127,40.684,30.614,90,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20241018t061442850_d_cp_d18.zip,-87.241249,41.951325,3.95,ch2_sar_ncxl_20241018t061442850_d_cp_d18.zip; ch2_sar_nrxl_20241018t061442850_d_cp_d18.zip; ch2_sar_ncxl_20240909t220205679_d_cp_d18.zip
SP_867440_0218610,-86.744,21.861,237.287,85,Haworth Crater Shoemaker Crater,ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip,-86.757215,24.303142,4.22,ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip; ch2_sar_nrxl_20201022t140200748_d_fp_d18.zip; ch2_sar_nrxl_20210304t171855578_d_fp_d32.zip
SP_868670_2973140,-86.867,297.314,14.238,90,Ibn Bajja Crater Haworth Crater,ch2_sar_ncxl_20201030t203407740_d_fp_d18.zip,-86.947808,-60.538501,4.28,ch2_sar_ncxl_20201030t203407740_d_fp_d18.zip; ch2_sar_nrxl_20201030t203407740_d_fp_d18.zip; ch2_sar_ncxl_20240928t151740230_d_cp_d18.zip
SP_834700_1757740,-83.47,175.774,113.414,95,Wiechert E,ch2_sar_nrxl_20220821t050453752_d_fp_d32.zip,-83.327114,175.501113,4.44,ch2_sar_nrxl_20220821t050453752_d_fp_d32.zip; ch2_sar_ncxl_20220821t050453752_d_fp_d32.zip; ch2_sar_nrxl_20220406t102934672_d_fp_d18.zip
SP_843960_1621040,-84.396,162.104,32.022,100,Wiechert P Wiechert Crater,ch2_sar_nrxl_20190922t032857034_d_fp_d18.zip,-84.505501,163.127035,4.47,ch2_sar_nrxl_20190922t032857034_d_fp_d18.zip; ch2_sar_ncxl_20190922t032857034_d_fp_d18.zip; ch2_sar_nrxl_20230328t045536564_d_fp_d32.zip
SP_883120_2691430,-88.312,269.143,243.292,95,de Gerlache Crater,ch2_sar_nrxl_20251007t224253019_d_cp_d18.zip,-88.409191,-86.936487,4.5,ch2_sar_nrxl_20251007t224253019_d_cp_d18.zip; ch2_sar_ncxl_20251007t224253019_d_cp_d18.zip; ch2_sar_ncxl_20210410t061955288_d_fp_d18.zip
SP_860280_3443410,-86.028,344.341,12.881,60,Haworth Crater Malapert Crater Cabeus Crater,ch2_sar_nrxl_20251024t055401782_d_fp_d32.zip,-86.133847,-17.200684,4.53,ch2_sar_nrxl_20251024t055401782_d_fp_d32.zip; ch2_sar_ncxl_20251024t094954820_d_fp_d32.zip; ch2_sar_ncxl_20251024t114751370_d_fp_d32.zip
SP_883170_0809830,-88.317,80.983,28.66,0,Shoemaker Crater Slater Crater,ch2_sar_ncls_20200913t042439405_d_fp_d18.zip,-88.203941,77.678499,4.58,ch2_sar_ncls_20200913t042439405_d_fp_d18.zip; ch2_sar_nrls_20200913t042439405_d_fp_d18.zip; ch2_sar_ncxl_20250925t075930941_d_cp_d18.zip
SP_867930_0609460,-86.793,60.946,24.322,15,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20241005t190108445_d_cp_d18.zip,-86.833386,63.880262,5.1,ch2_sar_ncxl_20241005t190108445_d_cp_d18.zip; ch2_sar_nrxl_20241005t190108445_d_cp_d18.zip; ch2_sar_ncxl_20240908t071413894_d_cp_d18.zip
SP_822920_2211100,-82.292,221.11,16.52,95,Kocher Crater Laveran Crater,ch2_sar_ncxl_20210924t210704032_d_fp_d18.zip,-82.373939,-140.003772,5.15,ch2_sar_ncxl_20210924t210704032_d_fp_d18.zip; ch2_sar_nrxl_20211021t203526148_d_fp_d18.zip; ch2_sar_nrxl_20210924t151304673_d_fp_d18.zip
SP_820540_0583270,-82.054,58.327,12.103,90,von Baeyer Crater,ch2_sar_nrxl_20231014t083449362_d_fp_d18.zip,-82.21684,58.806958,5.32,ch2_sar_nrxl_20231014t083449362_d_fp_d18.zip; ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip; ch2_sar_nrxl_20231014t063649701_d_fp_d18.zip
SP_837400_1630860,-83.74,163.086,194.702,100,Wiechert Crater,ch2_sar_nrxl_20220407t134426983_d_fp_d18.zip,-83.625195,164.297587,5.33,ch2_sar_nrxl_20220407t134426983_d_fp_d18.zip; ch2_sar_nrxl_20230328t045536564_d_fp_d32.zip; ch2_sar_ncxl_20220407t134426983_d_fp_d18.zip
SP_856730_2119650,-85.673,211.965,12.042,90,Kocher Crater Wiechert J,ch2_sar_nrxl_20200823t085159773_d_fp_d18.zip,-85.817666,-149.627544,5.66,ch2_sar_nrxl_20200823t085159773_d_fp_d18.zip; ch2_sar_ncxl_20200823t085159773_d_fp_d18.zip; ch2_sar_nrxl_20191027t022414237_d_fp_d18.zip
SP_819860_1568660,-81.986,156.866,10.732,100,Braude Crater,ch2_sar_ncxl_20230909t034916348_d_fp_d32.zip,-82.030559,155.555147,5.69,ch2_sar_ncxl_20230909t034916348_d_fp_d32.zip; ch2_sar_nrxl_20230909t034916348_d_fp_d32.zip; ch2_sar_nrxl_20220212t153919546_d_fp_d18.zip
SP_863550_0488280,-86.355,48.828,132.347,70,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20191108t184432959_d_fp_d18.zip,-86.166355,49.550012,5.9,ch2_sar_ncxl_20191108t184432959_d_fp_d18.zip; ch2_sar_ncxl_20191109t003802892_d_fp_m65.zip; ch2_sar_nrxl_20191108t184432959_d_fp_d18.zip
SP_876600_2623440,-87.66,262.344,13.936,90,de Gerlache Crater Sverdrup Crater,ch2_sar_nrxl_20250910t231859036_d_cp_d18.zip,-87.519801,-101.17058,6.18,ch2_sar_nrxl_20250910t231859036_d_cp_d18.zip; ch2_sar_ncxl_20250910t231859036_d_cp_d18.zip; ch2_sar_nrxl_20210507t040855533_d_fp_d18.zip
SP_869020_0278760,-86.902,27.876,11.434,80,Haworth Crater Shoemaker Crater,ch2_sar_nrxl_20201022t140200748_d_fp_d18.zip,-86.740793,25.369964,6.45,ch2_sar_nrxl_20201022t140200748_d_fp_d18.zip; ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip; ch2_sar_nrxl_20241020t202507493_d_cp_d18.zip
SP_818790_1353780,-81.879,135.378,16.272,80,Nefed'ev Crater,ch2_sar_ncxl_20230330t175159785_d_fp_d32.zip,-82.092137,135.390073,6.46,ch2_sar_ncxl_20230330t175159785_d_fp_d32.zip; ch2_sar_nrxl_20230330t175159785_d_fp_d32.zip; ch2_sar_ncxl_20230330t155400862_d_fp_d32.zip
SP_843980_2899650,-84.398,289.965,19.771,50,Cabeus Crater Ibn Baja,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip,-84.501651,-68.074623,6.55,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip; ch2_sar_nrxl_20200904t212517034_d_fp_d18.zip; ch2_sar_nrxl_20191023t122001856_d_fp_gds.zip
SP_824820_3550120,-82.482,355.012,124.33,80,Newton B,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip,-82.319686,-3.907377,6.56,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip; ch2_sar_nrxl_20230314t030551380_d_fp_n18.zip; ch2_sar_ncxl_20230314t030551380_d_fp_d32.zip
SP_823950_3576610,-82.395,357.661,61.238,70,Newton B Malapert C,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip,-82.319686,-3.907377,6.72,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip; ch2_sar_nrxl_20230314t030551380_d_fp_n18.zip; ch2_sar_nrxl_20230313t211205713_d_fp_d32.zip
SP_854150_3078410,-85.415,307.841,127.296,85,Cabeus Crater,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip,-85.639084,-51.379538,7.04,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip; ch2_sar_nrxl_20191021t151236474_d_fp_d18.zip; ch2_sar_nrxl_20191022t010148616_d_fp_d18.zip
SP_828910_2713550,-82.891,271.355,73.746,100,Drygalski Crater Drygalski P,ch2_sar_nrxl_20210824t223233231_d_fp_d18.zip,-82.646165,-88.955887,7.52,ch2_sar_nrxl_20210824t223233231_d_fp_d18.zip; ch2_sar_ncxl_20210824t223233231_d_fp_d18.zip; ch2_sar_nrxl_20210824t163808566_d_fp_d18.zip
